variant,type,size_mb,compression_ratio,map50,map50_95,map50_drop_pct,psnr,ssim
original,original,776.9634,1.0,0.51873,0.368052,0.0,,
q94,jpeg,543.3825,1.429865,0.516218,0.366027,0.484153,37.472149,0.967696
q88,jpeg,384.2208,2.022179,0.51475,0.364666,0.767264,35.39109,0.947684
q75,jpeg,239.2142,3.247982,0.505696,0.356297,2.512742,32.293277,0.905473
q50,jpeg,156.6916,4.958552,0.481431,0.336001,7.190405,30.139206,0.866177
q25,jpeg,95.9412,8.098329,0.407258,0.274226,21.489482,28.137254,0.814165
b7,bpc,1912.6668,0.40622,0.518923,0.368007,-0.037258,51.219091,0.99799
b4,bpc,816.7964,0.951233,0.498712,0.350944,3.859036,34.482951,0.906424
b3,bpc,607.812,1.278296,0.439328,0.303973,15.307049,27.85774,0.786185
b2,bpc,322.7558,2.407279,0.291168,0.194191,43.869017,20.513848,0.600939
b1,bpc,165.5969,4.691896,0.132835,0.082718,74.392215,10.92454,0.30886
