test_yolo /usr/local/bin/python3 /Users/amirkarataev/Desktop/CSE-2506M/third_trimester/article/test_yolo/00.py
Ultralytics 8.4.52 🚀 Python-3.11.5 torch-2.6.0 MPS (Apple M1)
YOLOv8n summary (fused): 72 layers, 3,151,904 parameters, 0 gradients, 8.7 GFLOPs
val: Fast image access ✅ (ping: 0.0±0.0 ms, read: 404.4±306.1 MB/s, size: 155.3 KB)
val: Scanning /Users/amirkarataev/Desktop/CSE-2506M/third_trimester/article/test_yolo/coco/labels/output/val2017_1_100th_4bpc... 50 images, 0 backgrounds, 0 corrupt: 100% ━━━━━━━━━━━━ 50/50 2.1Kit/s 0.0s
val: New cache created: /Users/amirkarataev/Desktop/CSE-2506M/third_trimester/article/test_yolo/coco/labels/output/val2017_1_100th_4bpc.cache
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 50/50 3.5it/s 14.3s
                   all         50        362      0.727       0.47      0.606       0.43
                person         29        139      0.782      0.655      0.753      0.517
               bicycle          1          1          1          0      0.332      0.232
                   car          3         10      0.999        0.5       0.68      0.485
              airplane          1          2      0.763          1      0.995      0.646
                   bus          3          5      0.879          1      0.995      0.955
                 train          1          1          1          0          0          0
                 truck          2          2          0          0     0.0485     0.0204
                  boat          2          7          1          0     0.0766     0.0216
         traffic light          1          2          1          0      0.124      0.111
             stop sign          1          2          1      0.856      0.995      0.845
                  bird          2          4      0.831        0.5      0.645      0.359
                   cat          2          2       0.78          1      0.995      0.895
                  bear          1          1      0.651          1      0.995      0.895
                 zebra          1          2          1      0.815      0.995      0.596
              backpack          3          6          1          0     0.0154    0.00524
               handbag          4          5      0.475        0.4      0.343       0.21
                   tie          4         15      0.449      0.133      0.295      0.175
                  skis          4          4      0.589       0.75      0.745      0.521
           sports ball          1          1      0.583          1      0.995      0.398
          baseball bat          1          1      0.646          1      0.995      0.373
        baseball glove          1          1          1          0      0.199      0.119
            skateboard          1          1          0          0     0.0269     0.0169
             surfboard          3          3          1          0      0.164      0.063
         tennis racket          2          2      0.909          1      0.995      0.745
                bottle          1          8          0          0     0.0991     0.0235
            wine glass          5         19      0.902      0.421      0.606      0.342
                   cup          7         10      0.575        0.4      0.503      0.406
                  fork          1          1          1          0      0.249      0.149
                 knife          3          5      0.975        0.6      0.734       0.62
                 spoon          2          3      0.596      0.333      0.555      0.422
                  bowl          3          3      0.209      0.333      0.256      0.186
                banana          2          2      0.992          1      0.995      0.514
                 apple          1          1          0          0      0.199      0.139
              sandwich          1          1      0.775          1      0.995      0.895
              broccoli          2          5      0.809        0.8      0.906      0.607
                carrot          1          5          1      0.356      0.726      0.508
                 donut          1          1          1          0      0.497      0.398
                  cake          1          1          0          0     0.0585     0.0527
                 chair          5         12      0.635      0.437      0.492      0.393
                 couch          2          2      0.787          1      0.995      0.845
          potted plant          2          3      0.571      0.667      0.665      0.532
                   bed          3          3      0.688      0.667      0.806      0.668
          dining table          7          9      0.686      0.556      0.705       0.58
                toilet          1          1      0.651          1      0.995      0.497
                    tv          4          5      0.788      0.752      0.838      0.683
                laptop          2          2      0.537          1      0.995      0.995
                 mouse          1          2          1      0.814      0.995      0.796
                remote          1          2          1      0.905      0.995      0.597
              keyboard          3          3          1       0.63      0.665      0.599
            cell phone          3          3          0          0      0.232      0.121
             microwave          1          1          1          0      0.995      0.423
                  oven          1          1       0.79          1      0.995      0.796
                  sink          1          1          1          0      0.995      0.597
          refrigerator          2          2      0.524        0.5      0.662      0.568
                  book          2         15          1          0      0.072     0.0196
                 clock          2          2          1          0      0.495      0.396
                  vase          1          4       0.66       0.25       0.53       0.32
              scissors          1          2          1          0          0          0
            teddy bear          1          3      0.407      0.688       0.83      0.497
Speed: 3.2ms preprocess, 108.6ms inference, 0.0ms loss, 50.9ms postprocess per image
Results saved to /Users/amirkarataev/Desktop/CSE-2506M/third_trimester/article/test_yolo/runs/detect/val-4
mAP50-95: 0.4303942212174032
mAP50: 0.6056199825777487
Precision: 0.726958352028149
Recall: 0.4698061232074996
