test_yolo /usr/local/bin/python3 /Users/amirkarataev/Desktop/CSE-2506M/third_trimester/article/test_yolo/00.py
Ultralytics 8.4.52 🚀 Python-3.11.5 torch-2.6.0 MPS (Apple M1)
YOLOv8n summary (fused): 72 layers, 3,151,904 parameters, 0 gradients, 8.7 GFLOPs
val: Fast image access ✅ (ping: 0.0±0.0 ms, read: 25.7±17.1 MB/s, size: 5.2 KB)
val: Scanning /Users/amirkarataev/Desktop/CSE-2506M/third_trimester/article/test_yolo/coco/labels/output_q/val2017_1_100th_q6... 50 images, 0 backgrounds, 0 corrupt: 100% ━━━━━━━━━━━━ 50/50 2.4Kit/s 0.0s
val: New cache created: /Users/amirkarataev/Desktop/CSE-2506M/third_trimester/article/test_yolo/coco/labels/output_q/val2017_1_100th_q6.cache
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 50/50 4.2it/s 11.8s
                   all         50        362      0.674     0.0686      0.101     0.0686
                person         29        139      0.425      0.245      0.226      0.108
               bicycle          1          1          1          0          0          0
                   car          3         10      0.107        0.1     0.0337     0.0226
              airplane          1          2      0.458          1      0.995      0.721
                   bus          3          5      0.568        0.8      0.906      0.672
                 train          1          1          0          0     0.0044   0.000881
                 truck          2          2          0          0    0.00419     0.0021
                  boat          2          7          0          0          0          0
         traffic light          1          2          0          0          0          0
             stop sign          1          2          1          0          0          0
                  bird          2          4          1          0     0.0577     0.0155
                   cat          2          2          1          0          0          0
                  bear          1          1          1          0          0          0
                 zebra          1          2      0.701        0.5      0.662       0.31
              backpack          3          6          0          0          0          0
               handbag          4          5          1          0          0          0
                   tie          4         15          0          0     0.0107    0.00569
                  skis          4          4          1          0          0          0
           sports ball          1          1          1          0      0.111     0.0442
          baseball bat          1          1          0          0      0.249     0.0746
        baseball glove          1          1          1          0          0          0
            skateboard          1          1          1          0          0          0
             surfboard          3          3          1          0          0          0
         tennis racket          2          2          1          0          0          0
                bottle          1          8          0          0          0          0
            wine glass          5         19          1          0          0          0
                   cup          7         10          1          0          0          0
                  fork          1          1          0          0          0          0
                 knife          3          5          1          0          0          0
                 spoon          2          3          0          0          0          0
                  bowl          3          3          1          0          0          0
                banana          2          2          1          0          0          0
                 apple          1          1          1          0          0          0
              sandwich          1          1          0          0          0          0
              broccoli          2          5          1          0     0.0217     0.0108
                carrot          1          5          1          0          0          0
                 donut          1          1          1          0          0          0
                  cake          1          1          1          0          0          0
                 chair          5         12          1          0      0.198     0.0511
                 couch          2          2          1          0          0          0
          potted plant          2          3          0          0     0.0359    0.00852
                   bed          3          3          1          0      0.168      0.117
          dining table          7          9          1          0     0.0308     0.0134
                toilet          1          1          1          0          0          0
                    tv          4          5          1          0      0.426      0.354
                laptop          2          2          1          0          0          0
                 mouse          1          2          0          0          0          0
                remote          1          2          0          0          0          0
              keyboard          3          3      0.815      0.333      0.429      0.226
            cell phone          3          3          1          0          0          0
             microwave          1          1          1          0          0          0
                  oven          1          1       0.58          1      0.995      0.995
                  sink          1          1          1          0          0          0
          refrigerator          2          2          1          0      0.285      0.234
                  book          2         15      0.126     0.0667     0.0861     0.0315
                 clock          2          2          0          0     0.0248     0.0198
                  vase          1          4          1          0     0.0223    0.00668
              scissors          1          2          1          0          0          0
            teddy bear          1          3          1          0          0          0
Speed: 3.3ms preprocess, 99.7ms inference, 0.0ms loss, 48.2ms postprocess per image
Results saved to /Users/amirkarataev/Desktop/CSE-2506M/third_trimester/article/test_yolo/runs/detect/val-7
mAP50-95: 0.06856759001334567
mAP50: 0.10136012355766481
Precision: 0.67422456165354
Recall: 0.06855261553469089
